title,Genre,rating
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.8724696356275303
Jumanji (1995),Adventure|Children|Fantasy,3.4018691588785046
Grumpier Old Men (1995),Comedy|Romance,3.1610169491525424
Waiting to Exhale (1995),Comedy|Drama|Romance,2.3846153846153846
Father of the Bride Part II (1995),Comedy,3.267857142857143
Heat (1995),Action|Crime|Thriller,3.8846153846153846
Sabrina (1995),Comedy|Romance,3.2830188679245285
Tom and Huck (1995),Adventure|Children,3.8
Sudden Death (1995),Action,3.15
GoldenEye (1995),Action|Adventure|Thriller,3.4508196721311477
"American President, The (1995)",Comedy|Drama|Romance,3.6890243902439024
Dracula: Dead and Loving It (1995),Comedy|Horror,2.861111111111111
Balto (1995),Adventure|Animation|Children,3.9375
Nixon (1995),Drama,3.4516129032258065
Cutthroat Island (1995),Action|Adventure|Romance,2.3181818181818183
Casino (1995),Crime|Drama,3.9488636363636362
Sense and Sensibility (1995),Drama|Romance,3.9244186046511627
Four Rooms (1995),Comedy,3.2884615384615383
Ace Ventura: When Nature Calls (1995),Comedy,2.597826086956522
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5384615384615383
Get Shorty (1995),Comedy|Crime|Thriller,3.536842105263158
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.3552631578947367
Assassins (1995),Action|Crime|Thriller,3.090909090909091
Powder (1995),Drama|Sci-Fi,3.0441176470588234
Leaving Las Vegas (1995),Drama|Romance,3.742574257425743
Othello (1995),Drama,4.1
Now and Then (1995),Children|Drama,3.142857142857143
Persuasion (1995),Drama|Romance,4.083333333333333
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.025
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,4.05
Dangerous Minds (1995),Drama,3.1785714285714284
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.923469387755102
Babe (1995),Children|Drama,3.6013513513513513
Carrington (1995),Drama|Romance,3.5454545454545454
Dead Man Walking (1995),Crime|Drama,3.9375
Across the Sea of Time (1995),Documentary|IMAX,2.0
It Takes Two (1995),Children|Comedy,2.0
Clueless (1995),Comedy|Romance,3.55
"Cry, the Beloved Country (1995)",Drama,3.9166666666666665
Richard III (1995),Drama|War,4.021739130434782
Dead Presidents (1995),Action|Crime|Drama,2.3333333333333335
