Name,Genre
Wii Sports,Sports
Super Mario Bros.,Platform
Mario Kart Wii,Racing
Wii Sports Resort,Sports
Pokemon Red/Pokemon Blue,Role-Playing
Tetris,Puzzle
New Super Mario Bros.,Platform
Wii Play,Misc
New Super Mario Bros. Wii,Platform
Duck Hunt,Shooter
Nintendogs,Simulation
Mario Kart DS,Racing
Pokemon Gold/Pokemon Silver,Role-Playing
Wii Fit,Sports
Kinect Adventures!,Misc
Wii Fit Plus,Sports
Grand Theft Auto V,Action
Grand Theft Auto: San Andreas,Action
Super Mario World,Platform
Brain Age: Train Your Brain in Minutes a Day,Misc
Pokemon Diamond/Pokemon Pearl,Role-Playing
Super Mario Land,Platform
Super Mario Bros. 3,Platform
Grand Theft Auto V,Action
Grand Theft Auto: Vice City,Action
Pokemon Ruby/Pokemon Sapphire,Role-Playing
Brain Age 2: More Training in Minutes a Day,Puzzle
Pokemon Black/Pokemon White,Role-Playing
Gran Turismo 3: A-Spec,Racing
Pokemon X/Pokemon Y,Role-Playing
Call of Duty: Black Ops 3,Shooter
Call of Duty: Modern Warfare 3,Shooter
Call of Duty: Black Ops,Shooter
Pok\xc3\xa9mon Yellow: Special Pikachu Edition,Role-Playing
Call of Duty: Black Ops II,Shooter
Call of Duty: Black Ops II,Shooter
Call of Duty: Modern Warfare 2,Shooter
Grand Theft Auto V,Action
Call of Duty: Modern Warfare 3,Shooter
Grand Theft Auto III,Action
Mario Kart 7,Racing
Super Smash Bros. Brawl,Fighting
Call of Duty: Black Ops,Shooter
Animal Crossing: Wild World,Simulation
Halo 3,Shooter
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing
Super Mario 64,Platform
Pokemon HeartGold/Pokemon SoulSilver,Action
Gran Turismo 4,Racing
Pokemon Sun/Moon,Role-Playing
Super Mario Galaxy,Platform
Super Mario Land 2: 6 Golden Coins,Adventure
Grand Theft Auto IV,Action
Gran Turismo,Racing
Super Mario 3D Land,Platform
Gran Turismo 5,Racing
Call of Duty: Modern Warfare 2,Shooter
Super Mario All-Stars,Platform
Grand Theft Auto IV,Action
Pokemon FireRed/Pokemon LeafGreen,Role-Playing
Super Mario 64,Platform
Call of Duty: Ghosts,Shooter
Just Dance 3,Misc
New Super Mario Bros. 2,Platform
Halo: Reach,Shooter
Mario Kart 64,Racing
Halo 4,Shooter
Final Fantasy VII,Role-Playing
Gran Turismo 2,Racing
Just Dance 2,Misc
Call of Duty: Ghosts,Shooter
Call of Duty 4: Modern Warfare,Shooter
Animal Crossing: New Leaf,Simulation
Donkey Kong Country,Platform
Minecraft,Misc
FIFA 17,Sports
Mario Party DS,Misc
The Elder Scrolls V: Skyrim,Role-Playing
Super Mario Kart,Racing
FIFA 16,Sports
Halo 2,Shooter
Wii Party,Misc
Mario Party 8,Misc
Star Wars Battlefront (2015),Shooter
FIFA Soccer 13,Action
GoldenEye 007,Shooter
Pokemon Black 2/Pokemon White 2,Role-Playing
Final Fantasy X,Role-Playing
The Sims 3,Simulation
Mario & Sonic at the Olympic Games,Sports
Final Fantasy VIII,Role-Playing
Pac-Man,Puzzle
Pok\xc3\xa9mon Platinum Version,Role-Playing
Grand Theft Auto: Liberty City Stories,Action
Call of Duty: Advanced Warfare,Shooter
Super Smash Bros. for Wii U and 3DS,Fighting
The Legend of Zelda: Ocarina of Time,Action
Crash Bandicoot 2: Cortex Strikes Back,Platform
Super Mario Galaxy 2,Platform
Super Mario Bros. 2,Platform
Call of Duty: Black Ops 3,Shooter
Call of Duty: World at War,Shooter
Fallout 4,Role-Playing
Battlefield 3,Shooter
Uncharted 4: A Thiefs End,Shooter
Mario Kart 8,Racing
Need for Speed Underground,Racing
Just Dance,Misc
Battlefield 3,Shooter
Tekken 3,Fighting
The Legend of Zelda: Twilight Princess,Action
Crash Bandicoot 3: Warped,Platform
Super Smash Bros. Melee,Fighting
Mario Kart: Double Dash!!,Racing
Need for Speed Underground 2,Racing
Medal of Honor: Frontline,Shooter
Crash Bandicoot,Platform
Just Dance 4,Misc
Gears of War 2,Shooter
Uncharted 3: Drakes Deception,Action
Zumba Fitness,Sports
Call of Duty 4: Modern Warfare,Shooter
Uncharted 2: Among Thieves,Action
FIFA 12,Sports
Big Brain Academy,Misc
The Legend of Zelda,Action
Red Dead Redemption,Action
FIFA 14,Sports
Donkey Kong Country Returns,Platform
Assassins Creed III,Action
Halo: Combat Evolved,Shooter
The Elder Scrolls V: Skyrim,Role-Playing
Pok\xc3\xa9mon Emerald Version,Role-Playing
Kingdom Hearts,Role-Playing
Pok\xc3\xa9mon Crystal Version,Role-Playing
Red Dead Redemption,Action
Halo 3: ODST,Shooter
Super Mario Sunshine,Platform
World of Warcraft,Role-Playing
Street Fighter II: The World Warrior,Fighting
Driver,Action
Gears of War 3,Shooter
Kinect Sports,Sports
Gears of War,Shooter
FIFA 15,Sports
Metal Gear Solid 2: Sons of Liberty,Action
Sonic the Hedgehog 2,Platform
Metal Gear Solid,Action
Metal Gear Solid 4: Guns of the Patriots,Action
Final Fantasy XII,Role-Playing
The Last of Us,Action
LittleBigPlanet,Platform
Resident Evil 2,Action
Call of Duty: Infinite Warfare,Shooter
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing
Tekken 2,Fighting
Grand Theft Auto V,Action
Destiny,Shooter
LEGO Star Wars: The Complete Saga,Action
Cooking Mama,Simulation
Tetris,Puzzle
Super Smash Bros.,Fighting
Assassins Creed II,Action
Assassins Creed,Adventure
Forza Motorsport 3,Racing
Super Mario Advance,Platform
Batman: Arkham City,Action
Monster Hunter Freedom Unite,Role-Playing
Mario Kart: Super Circuit,Racing
Super Mario World,Platform
Pokemon Stadium,Strategy
Crash Bandicoot: The Wrath of Cortex,Platform
Minecraft,Misc
Call of Duty: World at War,Shooter
Tomodachi Life,Simulation
Dr. Mario,Puzzle
Final Fantasy XIII,Role-Playing
Pokemon Pinball,Misc
Final Fantasy IX,Role-Playing
Battlefield 1,Shooter
